id,latitude,longitude,start,end,tot_start,tot_end
430571,39.062900,-94.487800,16:41:29.2,19:36:12.0,18:08:51.8,18:09:19.8
430578,39.081300,-94.491100,16:41:28.6,19:36:10.1,18:08:40.0,18:09:28.9
430579,39.126400,-94.497800,16:41:27.2,19:36:05.5,18:08:21.9,18:09:40.5
430580,39.094100,-94.488200,16:41:28.7,19:36:09.3,18:08:33.9,18:09:34.4
430581,39.223800,-94.500100,16:41:25.7,19:35:56.8,18:07:58.2,18:09:53.1
430582,39.206400,-94.493400,16:41:26.7,19:35:59.0,18:08:02.1,18:09:52.7
430584,39.055800,-94.494200,16:41:28.6,19:36:11.9,18:08:04.4,18:09:04.4
430589,39.208700,-94.490200,16:41:27.0,19:35:59.2,18:08:01.8,18:09:53.5
430590,39.180200,-94.492700,16:41:27.1,19:36:01.4,18:08:07.7,18:09:50.1
430591,39.102200,-94.486200,16:41:28.9,19:36:08.8,18:08:30.6,18:09:37.3
430592,39.156900,-94.497700,16:41:26.8,19:36:02.8,18:08:13.0,18:09:46.1
430593,39.109700,-94.485700,16:41:28.8,19:36:08.2,18:08:27.8,18:09:39.4
430594,39.206400,-94.489700,16:41:27.1,19:35:59.4,18:08:02.3,18:09:53.4
430595,39.144600,-94.498100,16:41:26.9,19:36:03.8,18:08:16.4,18:09:44.0
430596,39.171300,-94.492800,16:41:27.2,19:36:02.1,18:08:09.7,18:09:49.0
430618,39.113200,-94.617400,16:41:13.8,19:35:53.5,18:08:29.3,18:09:04.8
430666,39.109500,-94.588200,16:41:17.2,19:35:57.1,18:08:29.3,18:09:12.5
430667,39.244500,-94.465000,16:41:29.4,19:35:58.8,18:07:57.4,18:10:00.4
430668,39.116200,-94.590700,16:41:16.8,19:35:56.2,18:08:25.7,18:09:14.8
430674,39.067400,-94.510000,16:41:26.6,19:36:09.2,18:08:51.7,18:09:13.9
430675,39.046700,-94.437400,16:41:35.2,19:36:18.9,18:08:57.8,18:09:28.1
430676,39.030800,-94.272300,16:41:54.2,19:36:38.3,18:08:59.8,18:10:08.8
430677,39.097100,-94.591100,16:41:17.0,19:35:57.8,18:08:38.6,18:09:03.7
430678,39.105300,-94.570700,16:41:19.2,19:35:59.3,18:08:30.7,18:09:15.9
430680,39.367400,-94.772400,16:40:53.2,19:35:14.8,18:07:11.2,18:09:17.8
430681,39.187000,-94.602100,16:41:14.6,19:35:48.8,18:07:59.8,18:09:30.2
430682,39.353500,-94.762000,16:40:54.5,19:35:17.1,18:07:14.3,18:09:18.6
430683,39.179300,-94.581400,16:41:17.0,19:35:51.8,18:08:02.9,18:09:33.1
430685,39.046500,-94.424200,16:41:36.7,19:36:20.4,18:08:56.4,18:09:32.8
430690,39.102600,-94.572800,16:41:19.0,19:35:59.3,18:08:32.4,18:09:13.9
430691,39.032200,-94.286100,16:41:52.6,19:36:36.7,18:08:59.2,18:10:05.9
430692,39.166300,-94.558700,16:41:19.8,19:35:55.4,18:08:07.6,18:09:35.4
430694,39.096100,-94.570400,16:41:19.4,19:36:00.1,18:08:36.5,18:09:11.1
430696,39.063200,-94.499900,16:41:27.8,19:36:10.7,18:08:53.8,18:09:14.7
