id,latitude,longitude
403,40.256200,-74.758100
404,50.700000,-119.283000
406,35.685000,139.751000
407,35.690000,139.690000
408,35.685000,139.751000
409,25.039200,121.525000
410,25.039200,121.525000
411,33.249300,130.299000
412,47.333300,13.333300
413,64.000000,26.000000
414,51.000000,9.000000
415,53.433300,-2.150000
416,39.500000,-8.000000
417,60.966700,25.666700
418,51.500000,-0.130000
419,43.260900,-2.938800
420,26.025100,-80.125600
423,40.858400,-74.163800
425,45.602300,-122.517000
427,42.407200,-76.515900
428,39.179600,-77.732600
430,28.022200,-81.732900
446,46.854300,-96.828400
449,42.345100,-71.099300
452,30.390900,-86.316100
453,45.523400,-122.676000
456,40.248900,-75.149800
464,40.054800,-75.408300
468,39.636300,-74.763300
469,26.621700,-81.840600
470,48.143600,-98.887200
471,48.143600,-98.887200
472,62.116700,10.650000
473,49.000000,32.000000
474,49.399600,17.674200
475,64.000000,26.000000
476,42.833300,12.833300
477,60.000000,100.000000
478,38.997000,-1.854500
479,42.138700,-0.409400
480,47.900000,11.183300
481,44.266700,9.400000
482,48.860000,2.350000
483,47.183100,9.700000
484,47.333300,13.333300
485,47.333300,13.333300
486,48.860000,2.350000
487,48.860000,2.350000
488,50.866700,6.366700
489,51.000000,9.000000
490,49.750000,15.500000
491,42.833300,12.833300
492,63.733300,9.700000
493,58.366100,26.736100
494,43.333300,-8.316700
495,46.945800,7.471300
496,40.000000,-4.000000
497,40.000000,-4.000000
498,41.398400,2.174100
499,51.000000,9.000000
500,49.680400,18.665300
501,51.500000,-0.130000
502,59.016700,6.050000
503,62.000000,15.000000
504,46.317800,7.988100
505,47.000000,8.000000
506,50.833300,20.666700
507,65.083300,17.166700
508,64.616700,16.650000
509,62.000000,15.000000
510,62.000000,10.000000
511,64.136000,-21.920300
512,47.000000,8.000000
513,64.000000,26.000000
514,62.000000,10.000000
515,42.833300,12.833300
516,57.716700,11.966700
517,53.083300,8.800000
518,45.683300,9.716700
519,44.316700,23.800000
520,52.500000,5.750000
521,64.000000,26.000000
522,64.000000,26.000000
523,64.000000,26.000000
524,52.000000,20.000000
525,42.833300,12.833300
526,51.500000,-0.130000
527,62.000000,15.000000
528,47.333300,13.333300
529,47.333300,13.333300
530,56.204200,9.012700
531,29.337500,47.658100
532,53.783300,11.050000
533,39.000000,22.000000
534,62.000000,10.000000
535,60.366700,6.133300
536,50.995700,5.874800
537,50.995700,5.874800
538,50.995700,5.874800
539,42.500000,27.466700
540,51.816700,4.617600
541,47.000000,20.000000
542,53.528100,10.021700
543,47.333300,13.333300
544,60.916700,14.616700
545,42.833300,12.833300
546,39.000000,22.000000
547,43.000000,25.000000
548,52.000000,20.000000
549,47.300000,11.066700
550,42.833300,12.833300
551,46.070300,11.121600
552,55.816700,12.466700
553,40.000000,-4.000000
554,40.000000,-4.000000
555,42.833300,12.833300
556,62.000000,10.000000
557,44.818600,20.468100
558,51.642500,7.734300
559,52.500000,5.750000
560,47.333300,13.333300
561,47.333300,13.333300
562,47.333300,13.333300
563,60.000000,100.000000
564,65.000000,-18.000000
565,52.500000,5.750000
566,49.783300,19.233300
567,51.000000,9.000000
568,48.439100,9.982300
569,51.500000,-0.130000
570,37.983300,23.733300
571,45.941300,13.621500
572,45.300000,9.766700
573,42.833300,12.833300
574,41.900000,12.483300
575,34.548100,-77.546400
576,34.225700,-77.944700
578,40.165600,-74.821900
580,30.388000,-87.719900
581,62.000000,15.000000
582,62.733300,7.183300
583,53.571400,10.018900
586,51.200000,11.583300
587,30.758700,-103.925000
588,43.898800,-69.972500
589,-27.000000,133.000000
590,57.000700,-5.820500
591,57.716700,11.966700
592,49.589700,11.003900
593,42.600700,-70.871900
594,64.000000,26.000000
595,51.000000,9.000000
597,51.000000,9.000000
598,42.345100,-71.099300
599,62.000000,15.000000
600,62.000000,15.000000
601,62.000000,15.000000
602,47.000000,8.000000
603,47.333300,13.333300
606,-27.000000,133.000000
607,35.690000,139.690000
608,59.000000,26.000000
609,41.657700,-72.662700
610,46.309400,-79.464000
611,60.133300,13.000000
612,21.326700,-157.817000
613,46.309400,-79.464000
614,46.239600,-119.101000
616,64.000000,26.000000
617,21.326700,-157.817000
618,60.966700,25.666700
619,62.000000,10.000000
620,49.000000,32.000000
622,40.050000,-0.150000
623,62.100000,6.566700
624,47.333300,13.333300
625,50.666700,17.950000
626,23.500000,121.000000
627,57.716700,11.966700
629,65.000000,-18.000000
631,30.406600,-87.683600
633,51.681200,6.963000
634,57.774400,26.045300
635,53.586900,10.117500
637,52.083300,4.300000
639,51.000000,9.000000
640,49.750000,15.500000
641,47.333300,13.333300
642,66.383300,23.666700
644,47.000000,8.000000
646,52.500000,5.750000
647,26.621700,-81.840600
648,47.000000,8.000000
650,47.000000,8.000000
651,51.500000,-0.130000
652,60.000000,100.000000
656,48.860000,2.350000
657,51.533300,9.933300
659,41.781400,-72.754400
660,47.000000,8.000000
661,47.000000,8.000000
662,47.000000,8.000000
663,62.000000,15.000000
664,51.000000,9.000000
665,39.848900,-75.382300
666,62.000000,10.000000
668,51.500000,-0.130000
669,67.200000,23.366700
670,62.000000,10.000000
671,49.015000,12.095600
672,51.500000,-0.130000
673,51.000000,9.000000
674,62.000000,15.000000
676,51.633300,-3.966700
678,48.822200,2.122100
681,51.986400,-4.557800
682,47.333300,13.333300
684,43.469000,-3.798600
685,21.326700,-157.817000
687,47.000000,8.000000
688,48.143600,-98.887200
689,49.000000,32.000000
690,49.276500,-123.218000
691,51.000000,9.000000
692,52.505800,6.085800
693,43.359000,-2.666400
694,49.750000,15.500000
695,62.000000,15.000000
696,37.382400,-5.976100
697,58.366100,26.736100
699,29.763300,-95.363300
700,47.000000,8.000000
702,48.316700,11.666700
703,42.125100,-72.749500
704,60.383300,10.550000
705,51.681200,6.963000
707,52.593100,19.089400
708,43.359000,-2.666400
711,64.837800,-147.716000
712,47.000000,8.000000
713,64.000000,26.000000
714,42.833300,12.833300
715,51.000000,9.000000
716,62.000000,15.000000
717,47.000000,8.000000
718,51.433300,6.750000
720,56.136500,40.396600
722,26.339800,-81.778700
723,62.000000,10.000000
724,51.000000,9.000000
725,46.877200,-96.789800
726,42.833300,12.833300
730,46.812800,-71.219400
732,51.633300,-3.966700
733,39.977400,-75.145200
